,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
294,Baringhup Primary School,3463,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,22.02
250,Barnawartha Primary School,3688,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,11.49
250,Barnawartha Primary School,3688,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,11.58
1204,Barton Primary School,3977,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,2.26
1204,Barton Primary School,3977,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,4.78
268,Barwon Heads Primary School,3227,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,11.14
268,Barwon Heads Primary School,3227,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,8.54
1074,Barwon Valley School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,1.65
1074,Barwon Valley School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.79
1499,Bass Coast Specialist School,3995,Bass Coast Health,Public,235 Graham Street Wonthaggi VIC 3995,0.85
1499,Bass Coast Specialist School,3995,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,38.83
975,Bass Valley Primary School,3984,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,25.61
975,Bass Valley Primary School,3984,Bass Coast Health,Public,235 Graham Street Wonthaggi VIC 3995,13.19
484,Baxter Primary School,3911,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,2.95
484,Baxter Primary School,3911,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,2.54
1110,Bayles Regional Primary School,3981,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,15.03
1110,Bayles Regional Primary School,3981,Kooweerup Regional Health Service,Public,215 Rossiter Road Rossiter VIC 3981,4.75
2053,Bayside Christian College,3911,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,0.83
2053,Bayside Christian College,3911,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,1.49
1453,Bayside P-12 College,3016,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,3.21
1453,Bayside P-12 College,3016,Williamstown Hospital,Public,76A Railway Crescent Williamstown VIC 3016,0.58
1006,Bayside Special Developmental School,3189,Holmesglen Private Hospital,Private,488-490 South Road Kingston VIC 3189,0.66
1006,Bayside Special Developmental School,3189,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,1.47
638,Bayswater North Primary School,3153,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,1.42
638,Bayswater North Primary School,3153,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,2.67
378,Bayswater Primary School,3153,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.84
378,Bayswater Primary School,3153,Bayswater Day Procedure and Specialist Centre,Private,664 Mountain Highway Knox VIC 3153,0.22
1276,Bayswater Secondary College,3153,Bayswater Day Procedure and Specialist Centre,Private,664 Mountain Highway Knox VIC 3153,0.2
1276,Bayswater Secondary College,3153,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,2.06
848,Bayswater South Primary School,3153,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,0.38
848,Bayswater South Primary School,3153,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.98
886,Bayswater West Primary School,3153,Bayswater Day Procedure and Specialist Centre,Private,664 Mountain Highway Knox VIC 3153,0.73
886,Bayswater West Primary School,3153,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.47
1641,Bayview College,3305,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,47.2
1641,Bayview College,3305,Portland District Health,Public,141-151 Bentinck Street Portland VIC 3305,0.28
2063,Beaconhills College,3810,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,6.66
2063,Beaconhills College,3810,St John of God Berwick Day Oncology Centre,Private,1/55 Kangan Drive Casey VIC 3806,6.75
486,Beaconsfield Primary School,3807,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,1.37
486,Beaconsfield Primary School,3807,St John of God Berwick Day Oncology Centre,Private,1/55 Kangan Drive Casey VIC 3806,1.46
422,Beaconsfield Upper Primary School,3808,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,5.04
422,Beaconsfield Upper Primary School,3808,Berwick Surgicentre,Private,22 Langmore Lane Casey VIC 3806,4.56
95,Bealiba Primary School,3475,Maryborough District Health Service (Dunolly),Public,20 Havelock Street Dunolly VIC 3472,11.12
95,Bealiba Primary School,3475,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,39.41
10,Beaufort Primary School,3373,Beaufort & Skipton Health Service (Beaufort),Public,24-28 Havelock Street Beaufort VIC 3373,0.53
10,Beaufort Primary School,3373,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,25.74
1277,Beaufort Secondary College,3373,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,25.69
1277,Beaufort Secondary College,3373,Beaufort & Skipton Health Service (Beaufort),Public,24-28 Havelock Street Beaufort VIC 3373,0.55
763,Beaumaris North Primary School,3193,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,1.35
763,Beaumaris North Primary School,3193,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,1.46
597,Beaumaris Primary School,3193,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,1.96
597,Beaumaris Primary School,3193,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,1.97
1278,Beaumaris Secondary College,3193,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,1.75
1278,Beaumaris Secondary College,3193,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,1.47
56,Beeac Primary School,3251,Colac Area Health,Public,12 Connor Street Colac VIC 3250,10.69
56,Beeac Primary School,3251,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,35.96
2182,Beechworth Montessori School,3747,Beechworth Health Service,Public,52 Sydney Road Beechworth VIC 3747,1.19
2182,Beechworth Montessori School,3747,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,18.74
264,Beechworth Primary School,3747,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,18.1
264,Beechworth Primary School,3747,Beechworth Health Service,Public,52 Sydney Road Beechworth VIC 3747,0.43
1279,Beechworth Secondary College,3747,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,17.72
1279,Beechworth Secondary College,3747,Beechworth Health Service,Public,52 Sydney Road Beechworth VIC 3747,0.16
2071,Belgrave Heights Christian School,3160,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,2.26
2071,Belgrave Heights Christian School,3160,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,6.1
549,Belgrave South Primary School,3160,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,6.87
549,Belgrave South Primary School,3160,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,3.3
843,Bell Park North Primary School,3215,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,3.35
843,Bell Park North Primary School,3215,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,0.92
663,Bell Primary School,3072,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,3.11
663,Bell Primary School,3072,Panch Day Surgery Centre,Private,84-90 Hotham Street Darebin VIC 3072,0.95
796,Bellaire Primary School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.16
796,Bellaire Primary School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,1.29
1372,Bellarine Secondary College,3222,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,8.97
1372,Bellarine Secondary College,3222,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,10.81
41,Bellbrae Primary School,3228,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,13.76
41,Bellbrae Primary School,3228,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,9.88
1016,Bellbridge Primary School,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,1.2
1016,Bellbridge Primary School,3029,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,1.23
1133,Belle Vue Park Primary School,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,2.04
1133,Belle Vue Park Primary School,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,1.53
735,Belle Vue Primary School,3104,Kew Endoscopy,Private,828 High Street Boroondara VIC 3102,1.21
735,Belle Vue Primary School,3104,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,2.05
1280,Belmont High School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,1.89
1280,Belmont High School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.54
5,Belmont Primary School,3216,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.59
5,Belmont Primary School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,1.85
704,Belmore School,3103,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,1.34
704,Belmore School,3103,Kew Endoscopy,Private,828 High Street Boroondara VIC 3102,1.23
812,Belvedere Park Primary School,3198,"Southern Eye Centre, Day Surgery & Laser Clinic",Private,42-44 Cranbourne Road Frankston VIC 3199,2.62
812,Belvedere Park Primary School,3198,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,2.99
992,Belvoir Wodonga Special Developmental School,3690,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,1.52
992,Belvoir Wodonga Special Developmental School,3690,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,1.61
1541,Benalla P-12 College,3672,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,23.97
1541,Benalla P-12 College,3672,Benalla Health,Public,47-63 Coster Street Benalla VIC 3672,1.65
120,Bendigo Primary School,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,0.36
120,Bendigo Primary School,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,0.91
1281,Bendigo Senior Secondary College,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,0.28
1281,Bendigo Senior Secondary College,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,0.97
1310,Bendigo South East 7-10 Secondary College,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,1.95
1310,Bendigo South East 7-10 Secondary College,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,2.09
1050,Bendigo Special Developmental School,3555,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,3.79
1050,Bendigo Special Developmental School,3555,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,2.62
1262,Bentleigh Secondary College,3165,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,0.49
1262,Bentleigh Secondary College,3165,Holmesglen Private Hospital,Private,488-490 South Road Kingston VIC 3189,0.77
667,Bentleigh West Primary School,3204,Bentleigh Surgicentre,Private,157 Jasper Road Jasper VIC 3204,0.79
667,Bentleigh West Primary School,3204,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,1.8
1144,Benton Junior College,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,1.52
1144,Benton Junior College,3931,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,1.55
827,Berendale School,3188,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,1.68
827,Berendale School,3188,Bayside Endoscopy Day Hospital,Private,437-441 South Road South VIC 3204,0.49
1978,Berengarra School,3129,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,1.02
1978,Berengarra School,3129,Epworth Eastern,Private,1 Arnold Street Whitehorse VIC 3128,1.01
2170,Berry Street Victoria Inc,3174,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,0.91
2170,Berry Street Victoria Inc,3174,Noble Park Endoscopy Centre,Private,1304 Heatherton Road Heatherton VIC 3174,1.0
1156,Berwick Chase Primary School,3806,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,1.53
1156,Berwick Chase Primary School,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,1.55
1053,Berwick Fields Primary School,3806,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,0.7
1053,Berwick Fields Primary School,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,0.79
986,Berwick Lodge Primary School,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,1.43
986,Berwick Lodge Primary School,3806,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,0.84
9,Berwick Primary School,3806,St John of God Berwick Day Oncology Centre,Private,1/55 Kangan Drive Casey VIC 3806,0.5
9,Berwick Primary School,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,0.41
1282,Berwick Secondary College,3806,Berwick Surgicentre,Private,22 Langmore Lane Casey VIC 3806,1.04
1282,Berwick Secondary College,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,1.38
1864,Beth Rivkah Ladies College,3183,Masada Private Hospital,Private,24-48 Balaclava Road Balaclava VIC 3183,0.13
1864,Beth Rivkah Ladies College,3183,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.25
969,Bethal Primary School,3048,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,4.7
969,Bethal Primary School,3048,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.74
321,Bethanga Primary School,3691,Tallangatta Health Service,Public,25 Barree Street Tallangatta VIC 3700,8.1
321,Bethanga Primary School,3691,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,12.35
2126,Bethany Catholic Primary School,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.33
2126,Bethany Catholic Primary School,3030,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,1.16
497,Beulah Primary School,3395,Rural Northwest Health (Hopetoun),Public,12 Mitchell Place Hopetoun VIC 3396,14.92
497,Beulah Primary School,3395,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,117.22
1102,Beverford District Primary School,3590,Mildura Health Private Hospital,Private,220-228 Thirteenth Street Mildura VIC 3500,104.78
1102,Beverford District Primary School,3590,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,8.65
245,Beveridge Primary School,3753,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,12.4
245,Beveridge Primary School,3753,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,9.15
771,Beverley Hills Primary School,3109,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,2.58
771,Beverley Hills Primary School,3109,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,0.77
1913,Bialik College,3122,Epworth Rehabilitation Camberwell,Private,888 Toorak Road Boroondara VIC 3124,0.67
1913,Bialik College,3122,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,2.06
261,Big Hill Primary School,3555,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,4.85
261,Big Hill Primary School,3555,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,5.85
2036,Billanook College,3138,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,2.26
2036,Billanook College,3138,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,3.11
973,Billanook Primary School,3765,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.97
973,Billanook Primary School,3765,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,4.75
872,Bimbadeen Heights Primary School,3138,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,3.01
872,Bimbadeen Heights Primary School,3138,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,2.04
1478,Birchip P-12 School,3483,East Wimmera Health Service (Birchip),Public,24-26 Duncan Street Birchip VIC 3483,0.44
1478,Birchip P-12 School,3483,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,92.48
893,Birmingham Primary School,3796,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,4.81
893,Birmingham Primary School,3796,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,1.84
860,Birralee Primary School,3108,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,1.41
860,Birralee Primary School,3108,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,1.44
