,School,Nearest Hospital,Hopsital Address,Distance (miles)
277,Goornong Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,16.69
278,Oakleigh Primary School,Skin Cancer Day Surgery,19 Cleveland Road Monash VIC 3147,2.03
279,Ceres Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.52
280,Malvern Central School,Malvern Dialysis Clinic,1133 Malvern Road Stonnington VIC 3144,0.38
281,Daylesford Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,18.08
282,Mooroopna North Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,6.6
283,Swan Reach Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,60.05
284,Amphitheatre Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,34.24
285,Deans Marsh Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,26.84
286,Drysdale Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,9.76
287,St Arnaud Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,56.73
288,Nullawarre and District Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,15.33
289,Macedon Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,15.13
290,Arthurs Creek Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,10.15
291,Rye Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,3.34
292,Buxton Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,35.3
293,Moonambel Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,47.3
294,Baringhup Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,22.02
295,Longford Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,21.28
296,Harkaway Primary School,The Victorian Cosmetic Institute,1/18-24A Clyde Road Casey VIC 3806,2.19
297,Balnarring Primary School,Mornington Endoscopy,350 Main Street Main VIC 3931,11.13
298,Carraragarmungee Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,8.41
299,Euroa Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,0.25
300,Pyramid Hill College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,49.95
301,Shepparton East Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,4.73
302,Nicholson Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,53.86
303,Kialla West Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,7.45
304,Miners Rest Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,4.79
305,Glenrowan Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,9.15
306,Warrnambool Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,0.45
307,Devenish Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,23.36
308,Undera Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,12.14
309,Dederang Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,24.09
310,Eppalock Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,8.79
311,Silvan Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,7.33
312,Wendouree Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,0.24
313,Lancaster Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,15.83
314,Raywood Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,15.66
315,Drummond Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,25.75
316,Puckapunyal Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,16.59
317,Landsborough Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,53.22
318,Lysterfield Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,3.89
319,Winton Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,17.27
320,Merrigum Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,15.69
321,Bethanga Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,12.35
322,Abbotsford Primary School,The Melbourne Clinic,130 Church Street Yarra VIC 3121,0.4
323,Newtown Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.19
324,Windsor Primary School,Windsor Private Hospital,20-22 Melton  Stonnington VIC 3181,0.15
325,Narre Warren North Primary School,Casey Day Procedure and Specialist Centre,30-32 Verdun Drive Casey VIC 3805,3.18
326,Buchan Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,83.35
327,Anakie Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,17.39
328,Moolap Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,1.86
329,Footscray City Primary School,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,0.49
330,Newham Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,20.33
331,Plenty Parklands Primary School,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,1.7
332,White Hills Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,3.24
333,Mount Egerton Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,6.91
334,Drouin Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.39
335,Wunghnu Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,14.43
336,Maroona Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,54.03
337,Jindivick Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,2.91
338,Talgarno Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,16.61
339,Bungaree Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,8.58
340,Little River Primary School,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,11.4
341,Cowwarr Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,5.28
342,Morang South Primary School,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,3.2
343,Camp Hill Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,0.89
344,Pyalong Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,28.3
345,Winchelsea Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,17.79
346,Buln Buln Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,5.4
347,Macarthur Street Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,0.63
348,Elliminyt Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,40.87
349,Mornington Primary School,The Bays Hospital - Mornington,4 Vale Street Vale VIC 3931,0.12
350,Hamilton North Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,51.72
351,Mount Blowhard Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,8.08
352,Creswick North Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,9.5
353,Black Hill Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,1.08
354,Brighton Beach Primary School,Epworth Rehabilitation Brighton,85-93 Wilson Street Bayside VIC 3186,0.68
355,Castlemaine North Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,20.54
356,Yarrambat Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,4.64
357,Casterton Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,79.8
358,Nathalia Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,23.75
359,Chilwell Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,0.73
360,Greensborough Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.41
361,Teesdale Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,17.77
362,Cranbourne Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,5.56
363,Katamatite Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,24.76
364,Buangor Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,38.13
365,Leitchville Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,58.81
366,Whittlesea Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,10.99
367,Little Bendigo Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,2.37
368,Urquhart Park Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,1.07
369,Warragul Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.37
370,Kangaroo Ground Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,5.94
371,Traralgon South Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,8.7
372,Coleraine Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,68.56
373,Lake Charm Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,83.72
374,Ripplebrook Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,16.44
375,Numurkah Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,18.65
376,Moe (Albert Street) Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,8.85
377,Geelong South Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,0.39
378,Bayswater Primary School,Bayswater Day Procedure and Specialist Centre,664 Mountain Highway Knox VIC 3153,0.22
379,Minyip Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,95.5
380,Mulgrave Primary School,The Valley Private Hospital,535-559 Police Road Monash VIC 3170,0.95
381,Yarragon Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,14.17
382,Tyers Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,5.57
383,Trafalgar Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,14.08
384,Kinglake Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,18.64
385,Ellinbank Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,15.08
386,Tambo Upper Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,59.83
387,Baranduda Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,4.96
388,Tungamah Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,27.42
389,Bunyip Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,14.2
390,Gunbower Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,56.0
391,Nar Nar Goon Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,12.74
392,Toora Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,31.32
393,Montrose Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,3.01
394,Koondrook Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,78.05
395,Katunga South Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,23.66
396,Magpie Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,4.02
397,Tawonga Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,40.92
398,Narracan Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,10.67
399,Drouin South Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,12.37
400,Eskdale Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,30.75
401,Darnum Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,11.69
402,Moorooduc Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,3.4
403,The Basin Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,2.23
404,Paynesville Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,51.05
405,Epsom Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,4.77
406,Kensington Primary School,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,0.73
407,Hazelwood North Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,3.99
408,Mirboo North Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,19.37
409,Yinnar Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,8.79
410,Neerim South Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,0.47
411,Ivanhoe Primary School,Ivanhoe Endoscopy Centre,226 Princes Road Banyule VIC 3079,0.11
412,Portarlington Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,14.98
413,Menzies Creek Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,8.1
414,St Kilda Park Primary School,Vision Laser St Kilda Road,600-602 Whitehorse Road Whitehorse VIC 3004,0.54
415,Labertouche Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,8.21
416,Diggers Rest Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,3.69
417,Longwarry Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,11.92
418,Gembrook Primary School,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,12.23
419,Wurruk Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,16.61
420,Willow Grove Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,12.64
421,Hoddles Creek Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,16.98
422,Beaconsfield Upper Primary School,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,4.56
423,Congupna Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,4.3
424,Redesdale Mia Mia Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,23.1
425,Malvern Primary School,Stonnington Day Surgery,253 Wattletree Road Stonnington VIC 3144,0.55
426,Launching Place Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,15.54
427,Carlton Gardens Primary School,Skin & Cancer Foundation Incorporated,80 Drummond Street Melbourne VIC 3053,0.21
428,Ascot Vale Primary School,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.6
429,Boolarra Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,14.15
430,Rosebud Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,1.44
431,Koo Wee Rup Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,13.08
432,Armadale Primary School,Cabrini Prahran,646-646A High Street Stonnington VIC 3181,0.5
433,Osborne Primary School,Mornington Endoscopy,350 Main Street Main VIC 3931,2.03
434,Somerville Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,4.59
435,Willaura Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,58.75
436,Echuca East Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,39.47
437,Lakes Entrance Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,66.5
438,Myrrhee Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,26.82
439,Longwood Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,8.87
440,Forrest Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,39.01
441,Fairfield Primary School,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,0.26
442,Nilma Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.97
443,Garfield Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,15.98
444,Yinnar South Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,11.01
445,Officer Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,3.65
446,Brunswick South Primary School,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,1.53
447,Orbost Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,93.42
448,Inverloch Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,43.76
449,Surrey Hills Primary School,Linley Clinic,25 Bryson Street Boroondara VIC 3126,1.09
450,Montague Continuing Education Centre,Specialist Surgicentre Docklands,22 Rakaia Way Melbourne VIC 3008,1.21
451,Strathmerton Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,30.25
452,Laharum Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,92.77
453,Walwa Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,49.41
454,Middle Park Primary School,Melbourne Endoscopy,517 High Road Melbourne VIC 3004,1.2
