,School,Nearest Hospital,Hopsital Address,Distance (miles)
278,Oakleigh Primary School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,2.28
279,Ceres Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,5.31
280,Malvern Central School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,2.06
281,Daylesford Primary School,Daylesford District Hospital,15 Hospital Street Daylesford VIC 3460,0.56
282,Mooroopna North Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,6.34
283,Swan Reach Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,14.05
284,Amphitheatre Primary School,Beaufort & Skipton Health Service (Beaufort),24-28 Havelock Street Beaufort VIC 3373,17.04
285,Deans Marsh Primary School,Lorne Community Hospital,1 Albert Street Lorne VIC 3232,11.29
286,Drysdale Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,11.31
287,St Arnaud Primary School,East Wimmera Health Service (St Arnaud),52 Aitken Road Aitken VIC 3478,0.62
288,Nullawarre and District Primary School,Timboon and District Healthcare Service,21 Hospital Road Timboon VIC 3268,13.2
289,Macedon Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,12.42
290,Arthurs Creek Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,11.47
291,Rye Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,3.39
292,Buxton Primary School,Alexandra District Hospital,12 Cooper Street Alexandra VIC 3714,15.6
293,Moonambel Primary School,Maryborough District Health Service (Maryborough),75 Clarendon Street Maryborough VIC 3465,23.4
294,Baringhup Primary School,Maldon Hospital,1 Chapel Street Maldon VIC 3463,5.43
295,Longford Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,4.27
296,Harkaway Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,3.03
297,Balnarring Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,11.03
298,Carraragarmungee Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,8.36
299,Euroa Primary School,Benalla Health,47-63 Coster Street Benalla VIC 3672,27.21
300,Pyramid Hill College,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,17.95
301,Shepparton East Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,4.89
302,Nicholson Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,7.72
303,Kialla West Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,7.14
304,Miners Rest Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,6.28
305,Glenrowan Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,8.92
306,Warrnambool Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,0.57
307,Devenish Primary School,Benalla Health,47-63 Coster Street Benalla VIC 3672,16.69
308,Undera Primary School,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,10.22
309,Dederang Primary School,Alpine Health (Myrtleford),30-32 Odonnell Avenue Myrtleford VIC 3737,16.98
310,Eppalock Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,8.64
311,Silvan Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,6.05
312,Wendouree Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,1.71
313,Lancaster Primary School,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,5.06
314,Raywood Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,15.07
315,Drummond Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,7.82
316,Puckapunyal Primary School,Seymour Health,1 Bretonneux Street Seymour VIC 3660,5.91
317,Landsborough Primary School,Stawell Regional Health,27-29 Sloane Street Stawell VIC 3380,19.94
318,Lysterfield Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,2.23
319,Winton Primary School,Benalla Health,47-63 Coster Street Benalla VIC 3672,5.56
320,Merrigum Primary School,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,6.14
321,Bethanga Primary School,Tallangatta Health Service,25 Barree Street Tallangatta VIC 3700,8.1
322,Abbotsford Primary School,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,0.97
323,Newtown Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.58
324,Windsor Primary School,The Alfred,55 Commercial Road Melbourne VIC 3004,1.1
325,Narre Warren North Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,4.87
326,Buchan Primary School,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,21.02
327,Anakie Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,14.92
328,Moolap Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,3.49
329,Footscray City Primary School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,0.93
330,Newham Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,7.94
331,Plenty Parklands Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.48
332,White Hills Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,1.85
333,Mount Egerton Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,14.79
334,Drouin Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,4.87
335,Wunghnu Primary School,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,3.57
336,Maroona Primary School,East Grampians Health Service (Willaura),21 Delacombe Way Willaura VIC 3379,9.91
337,Jindivick Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,10.12
338,Talgarno Primary School,Tallangatta Health Service,25 Barree Street Tallangatta VIC 3700,10.3
339,Bungaree Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,8.77
340,Little River Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,12.16
341,Cowwarr Primary School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,15.94
342,Morang South Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.98
343,Camp Hill Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,0.32
344,Pyalong Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,13.89
345,Winchelsea Primary School,Hesse Rural Health Service (Winchelsea),8 Gosney Street Winchelsea VIC 3241,0.1
346,Buln Buln Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,5.1
347,Macarthur Street Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,0.76
348,Elliminyt Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,1.37
349,Mornington Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,0.58
350,Hamilton North Primary School,Hamilton Base Hospital,20 Foster Street Hamilton VIC 3300,2.06
351,Mount Blowhard Primary School,Creswick District Hospital,1 Napier Street Creswick VIC 3363,5.82
352,Creswick North Primary School,Creswick District Hospital,1 Napier Street Creswick VIC 3363,0.81
353,Black Hill Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,1.37
354,Brighton Beach Primary School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.98
355,Castlemaine North Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,0.52
356,Yarrambat Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,5.96
357,Casterton Primary School,Casterton Memorial Hospital,63 Russell Street Casterton VIC 3311,0.73
358,Nathalia Primary School,Nathalia District Hospital,36-44 Mcdonell Street Nathalia VIC 3638,0.46
359,Chilwell Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.12
360,Greensborough Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.51
361,Teesdale Primary School,Hesse Rural Health Service (Winchelsea),8 Gosney Street Winchelsea VIC 3241,15.24
362,Cranbourne Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,0.42
363,Katamatite Primary School,Cobram District Health,24-32 Broadway Street Cobram VIC 3644,11.25
364,Buangor Primary School,Beaufort & Skipton Health Service (Beaufort),24-28 Havelock Street Beaufort VIC 3373,12.29
365,Leitchville Primary School,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,8.99
366,Whittlesea Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,10.98
367,Little Bendigo Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,2.83
368,Urquhart Park Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,0.6
369,Warragul Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,1.14
370,Kangaroo Ground Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,8.26
371,Traralgon South Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,6.58
372,Coleraine Primary School,Western District Health Service (Coleraine),71 Mcleod Street Coleraine VIC 3315,0.49
373,Lake Charm Primary School,Kerang District Health,13-15 Burgoyne Street Kerang VIC 3579,10.45
374,Ripplebrook Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,9.44
375,Numurkah Primary School,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,0.68
376,Moe (Albert Street) Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,11.67
377,Geelong South Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,0.54
378,Bayswater Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.84
379,Minyip Primary School,West Wimmera Health Service (Rupanyup),89-91 Cromie Street Rupanyup VIC 3388,12.28
380,Mulgrave Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.9
381,Yarragon Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,7.69
382,Tyers Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,4.82
383,Trafalgar Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,12.98
384,Kinglake Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,12.81
385,Ellinbank Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,4.67
386,Tambo Upper Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,13.73
387,Baranduda Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,5.1
388,Tungamah Primary School,Yarrawonga Health,33 Piper Street Yarrawonga VIC 3730,12.57
389,Bunyip Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,12.77
390,Gunbower Primary School,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,13.84
391,Nar Nar Goon Primary School,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,9.52
392,Toora Primary School,South Gippsland Hospital (Foster),83 Station Road Foster VIC 3960,6.6
393,Montrose Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,3.58
394,Koondrook Primary School,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,12.36
395,Katunga South Primary School,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,5.69
396,Magpie Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,3.57
397,Tawonga Primary School,Alpine Health (Mount Beauty),2-8 Hollonds Street Hollonds VIC 3699,3.86
398,Narracan Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,13.37
399,Drouin South Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,5.48
400,Eskdale Primary School,Tallangatta Health Service,25 Barree Street Tallangatta VIC 3700,17.74
401,Darnum Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,4.06
402,Moorooduc Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,3.67
403,The Basin Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,3.4
404,Paynesville Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,8.0
405,Epsom Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,3.43
406,Kensington Primary School,"Royal Children's Hospital, The",50 Flemington Road Parkville VIC 3052,1.17
407,Hazelwood North Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,3.64
408,Mirboo North Primary School,Gippsland Southern Health Service (Leongatha),64 Koonwarra Road Leongatha VIC 3953,12.44
409,Yinnar Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,10.48
410,Neerim South Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,10.97
411,Ivanhoe Primary School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,0.76
412,Portarlington Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,15.97
413,Menzies Creek Primary School,Angliss Hospital,39 Albert Street Albert VIC 3156,4.59
414,St Kilda Park Primary School,The Alfred,55 Commercial Road Melbourne VIC 3004,0.9
415,Labertouche Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,11.47
416,Diggers Rest Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,3.39
417,Longwarry Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,9.53
418,Gembrook Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,12.59
419,Wurruk Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,2.23
420,Willow Grove Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,15.3
421,Hoddles Creek Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,13.3
422,Beaconsfield Upper Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,5.04
423,Congupna Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,4.67
424,Redesdale Mia Mia Primary School,Heathcote Health,39-55 Hospital Street Heathcote VIC 3523,11.81
425,Malvern Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.4
426,Launching Place Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,9.63
427,Carlton Gardens Primary School,Royal Dental Hospital (Melbourne),720 Swanston Street Carlton VIC 3053,0.33
428,Ascot Vale Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,1.27
429,Boolarra Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,15.79
430,Rosebud Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,1.39
431,Koo Wee Rup Primary School,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,0.63
432,Armadale Primary School,The Alfred,55 Commercial Road Melbourne VIC 3004,2.0
433,Osborne Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,1.86
434,Somerville Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,3.88
435,Willaura Primary School,East Grampians Health Service (Willaura),21 Delacombe Way Willaura VIC 3379,0.35
436,Echuca East Primary School,Echuca Regional Health,226 Service Street Echuca VIC 3564,0.76
437,Lakes Entrance Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,21.32
438,Myrrhee Primary School,Benalla Health,47-63 Coster Street Benalla VIC 3672,22.03
439,Longwood Primary School,Seymour Health,1 Bretonneux Street Seymour VIC 3660,21.38
440,Forrest Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,13.98
441,Fairfield Primary School,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard Kew VIC 3101,0.8
442,Nilma Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,2.59
443,Garfield Primary School,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,12.84
444,Yinnar South Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,11.86
445,Officer Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,3.57
446,Brunswick South Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,1.3
